year,idind,x,y
2012,14479,"3","3"
2012,14480,"10","3"
2012,888,"8","2"
2012,889,"12","4"
2012,890,"9","3"
2012,11553,"8","3"
2012,30206,"8","4"
2012,44705,"8","3"
2012,40821,"8","3"
2012,40822,"8","3"
2012,898,"8","4"
2012,899,"12","3"
2012,28805,"8","4"
2012,14484,"8","3"
2012,14485,"5","3"
2012,14486,"8","2"
2012,16417,"11","3"
2012,16418,"8","3"
2012,900,"8","3"
2012,11562,"7","3"
2012,11565,"8","3"
2012,44708,"10","2"
2012,917,"6","2"
2012,918,"10","2"
2012,921,"12","4"
2012,40828,"7","1"
2012,40829,"8","1"
2012,11568,"8","3"
2012,11569,"8","4"
2012,11570,"10","3"
2012,11571,"8","2"
2012,28813,"12","2"
2012,28814,"10","3"
2012,22888,"8","3"
2012,22889,"8","3"
2012,22885,"8","1"
2012,22886,"12","1"
2012,923,"10","2"
2012,40831,"12","2"
2012,25437,"7","2"
2012,25438,"9","2"
2012,25432,"8","4"
2012,25434,"8","3"
2012,21540,"8","3"
2012,962,"8","3"
2012,25384,"12","2"
2012,40839,"12","1"
2012,11578,"8","4"
2012,25441,"6","1"
2012,25446,"8","3"
2012,44713,"12","3"
2012,25448,"7","2"
2012,30213,"8","2"
2012,30214,"9","3"
2012,44714,"12","2"
2012,44715,"8","1"
2012,977,"12","3"
2012,980,"10","3"
2012,981,"4","3"
2012,991,"8","2"
2012,994,"12","3"
2012,22894,"12","3"
2012,1003,"24","3"
2012,31441,"7","3"
2012,24184,"7","3"
2012,1006,"8","4"
2012,40841,"8","2"
2012,971,"6","2"
2012,28818,"8","3"
2012,984,"12","3"
2012,30217,"8","3"
2012,30219,"6","2"
2012,40843,"8","3"
2012,33058,"12","3"
2012,33059,"7","3"
2012,33061,"10","1"
2012,33062,"11","2"
2012,44719,"8","1"
2012,44720,"14","1"
2012,33065,"8","3"
2012,33066,"8","1"
2012,33073,"8","2"
2012,33074,"8","3"
2012,33077,"8","4"
2012,33078,"7","2"
2012,33079,"8","2"
2012,40846,"8","2"
2012,40847,"8","3"
2012,33081,"8","2"
2012,33082,"21","2"
2012,33083,"8","3"
2012,33089,"8","2"
2012,33093,"12","4"
2012,33095,"12","2"
2012,33097,"12","3"
2012,44723,"8","2"
2012,44724,"8","1"
2012,40849,"12","3"
2012,40850,"8","3"
2012,44728,"8","3"
2012,40853,"8","1"
2012,40854,"10","1"
2012,40857,"8","3"
2012,40858,"8","3"
2012,33114,"8","4"
2012,33118,"7","3"
2012,40863,"8","2"
2012,40864,"8","2"
2012,40865,"8","3"
2012,40866,"10","2"
2012,33120,"6","2"
2012,33121,"8","2"
2012,40868,"8","3"
2012,33123,"8","3"
2012,33126,"8","4"
2012,33130,"12","3"
2012,40870,"8","4"
2012,33136,"8","3"
2012,33147,"8","4"
2012,40874,"7","3"
2012,44734,"14","1"
2012,44735,"11","1"
2012,33152,"6","2"
2012,33153,"6","2"
2012,33156,"8","3"
2012,44736,"8","2"
2012,44737,"12","2"
2012,44738,"8","2"
2012,44739,"12","3"
2012,44740,"8","2"
2012,33161,"8","4"
2012,33162,"8","2"
2012,33165,"10","3"
2012,33172,"9","3"
2012,33173,"8","2"
2012,33174,"8","3"
2012,33181,"6","3"
2012,33182,"8","2"
2012,40880,"12","3"
2012,33186,"8","1"
2012,40882,"8","2"
2012,33188,"8","2"
2012,33190,"4","3"
2012,33191,"8","2"
2012,33194,"8","4"
2012,33195,"8","3"
2012,40888,"7","3"
2012,40889,"8","3"
2012,40890,"8","2"
2012,40891,"8","3"
2012,40892,"8","3"
2012,44743,"8","3"
2012,40895,"7","3"
2012,40897,"8","3"
2012,40898,"8","2"
2012,33206,"8","3"
2012,33211,"9","3"
2012,33213,"12","4"
